latent_len,epochs,learning_rate,avg_accuracy,random_seed
30,30,0.001,0.22,42
30,50,0.001,0.22,42
30,50,0.0001,0.21,42
30,50,0.0001,0.21,42
35,30,0.001,0.25,42
35,50,0.001,0.24,42
35,50,0.0001,0.19,42
35,50,0.0001,0.22,42
40,30,0.001,0.22,42
40,50,0.001,0.24,42
40,50,0.0001,0.18,42
40,50,0.0001,0.22,42
30,30,0.001,0.26,35354
30,50,0.001,0.24,35354
30,50,0.0001,0.19,35354
30,50,0.0001,0.22,35354
35,30,0.001,0.24,35354
35,50,0.001,0.25,35354
35,50,0.0001,0.2,35354
35,50,0.0001,0.2,35354
40,30,0.001,0.24,35354
40,50,0.001,0.25,35354
40,50,0.0001,0.19,35354
40,50,0.0001,0.22,35354
45,30,0.001,0.24,35354
45,50,0.001,0.25,35354
45,50,0.0001,0.19,35354
45,50,0.0001,0.22,35354
50,30,0.001,0.25,35354
50,50,0.001,0.25,35354
50,50,0.0001,0.18,35354
50,50,0.0001,0.22,35354
55,30,0.001,0.25,35354
55,50,0.001,0.26,35354
55,50,0.0001,0.17,35354
55,50,0.0001,0.19,35354
60,30,0.001,0.23,35354
60,50,0.001,0.22,35354
60,50,0.0001,0.17,35354
60,50,0.0001,0.2,35354
65,30,0.001,0.24,35354
65,50,0.001,0.24,35354
65,50,0.0001,0.16,35354
65,50,0.0001,0.19,35354
